ReviewId,StockCode,Description,ReviewDate,CustomerID,ratings
1,23073,GEORGIAN TRINKET BOX,5/19/11,15122,2
2,84247N,PACK/12 BLUE FOLKART CARDS,9/11/11,14030,3
3,23206,LUNCH BAG APPLE DESIGN,12/4/11,17936,2
4,22383,LUNCH BAG SUKI DESIGN ,6/1/11,14646,2
5,22728,ALARM CLOCK BAKELIKE PINK,7/18/11,,7
6,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,7/28/11,13813,9
7,22470,HEART OF WICKER LARGE,12/15/10,16725,10
8,47566,PARTY BUNTING,10/19/11,,10
9,23296,SET OF 6 TEA TIME BAKING CASES,11/23/11,18283,3
10,84997C,CHILDRENS CUTLERY POLKADOT BLUE,11/10/11,17340,3
11,21977,PACK OF 60 PINK PAISLEY CAKE CASES,12/19/10,15581,7
12,22588,CARD HOLDER GINGHAM HEART,11/21/11,12904,9
13,23240,SET OF 4 KNICK KNACK TINS DOILY ,11/10/11,16133,4
14,23539,WALL ART LOVES' SECRET ,10/10/11,14535,10
15,35953,FOLKART STAR CHRISTMAS DECORATIONS,11/4/11,12576,4
16,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,10/17/11,14422,7
17,22812,PACK 3 BOXES CHRISTMAS PANNETONE,10/17/11,12473,7
18,21558,SKULL LUNCH BOX WITH CUTLERY ,11/11/11,18118,3
19,22956,36 FOIL HEART CAKE CASES,5/13/11,17765,8
20,21755,LOVE BUILDING BLOCK WORD,3/18/11,16626,6
21,22574,HEART WOODEN CHRISTMAS DECORATION,11/22/11,,5
22,22385,JUMBO BAG SPACEBOY DESIGN,1/25/11,17236,8
23,47567B,TEA TIME KITCHEN APRON,2/7/11,13334,4
24,82580,BATHROOM METAL SIGN,9/18/11,17750,8
25,20982,12 PENCILS TALL TUBE SKULLS,12/1/11,,8
26,22967,SET 3 SONG BIRD PAPER EGGS ASSORTED,3/16/11,14505,3
27,21915,RED  HARMONICA IN BOX ,9/7/11,16818,7
28,22469,HEART OF WICKER SMALL,12/13/10,14290,9
29,23013,GLASS APOTHECARY BOTTLE TONIC,12/5/11,,3
30,22862,LOVE HEART NAPKIN BOX ,1/9/11,14702,9
31,21397,BLUE POLKADOT EGG CUP ,2/10/11,15809,3
32,22470,HEART OF WICKER LARGE,10/2/11,15164,4
