InvoiceNo,InvoiceDate,CustomerID,TotalAmount,PaymentMode
536365,12/1/10 8:26,17850,139.12,Debit Card
536366,12/1/10 8:28,17850,22.2,Bank Transfer
536367,12/1/10 8:34,13047,278.73,PayPal
536368,12/1/10 8:34,13047,70.05,Debit Card
536369,12/1/10 8:35,13047,17.85,Debit Card
536370,12/1/10 8:45,12583,855.86,PayPal
536371,12/1/10 9:00,13748,204,Debit Card
536372,12/1/10 9:01,17850,22.2,Mobile Payments
536373,12/1/10 9:02,17850,259.86,Mobile Payments
536374,12/1/10 9:09,15100,350.4,Debit Card
536375,12/1/10 9:32,17850,259.86,Bank Transfer
536376,12/1/10 9:32,15291,328.8,Debit Card
536377,12/1/10 9:34,17850,22.2,Debit Card
536378,12/1/10 9:37,14688,444.98,Mobile Payments
536380,12/1/10 9:41,17809,34.8,Credit Card
536381,12/1/10 9:41,15311,446.23,Credit Card
C536379,12/1/10 9:41,14527,-27.5,Credit Card
536382,12/1/10 9:45,16098,430.6,Cash
C536383,12/1/10 9:49,15311,-4.65,Bank Transfer
536384,12/1/10 9:53,18074,489.6,Check
536385,12/1/10 9:56,17420,130.85,Mobile Payments
536386,12/1/10 9:57,16029,508.2,Bank Transfer
536387,12/1/10 9:58,16029,3193.92,Debit Card
536388,12/1/10 9:59,16250,226.14,Bank Transfer
536389,12/1/10 10:03,12431,358.25,Credit Card
536390,12/1/10 10:19,17511,1825.74,PayPal
C536391,12/1/10 10:24,17548,-141.48,Credit Card
536392,12/1/10 10:29,13705,318.14,Mobile Payments
536393,12/1/10 10:37,13747,79.6,Debit Card
536394,12/1/10 10:39,13408,1024.68,Debit Card
536395,12/1/10 10:47,13767,507.88,Credit Card
536396,12/1/10 10:51,17850,376.36,Bank Transfer
536397,12/1/10 10:51,17924,279,Debit Card
536398,12/1/10 10:52,13448,426.56,Debit Card
536399,12/1/10 10:52,17850,22.2,Credit Card
536400,12/1/10 10:53,13448,17.4,PayPal
536401,12/1/10 11:21,15862,354.23,PayPal
536402,12/1/10 11:22,15513,357,PayPal
536403,12/1/10 11:27,12791,192.6,Mobile Payments
536404,12/1/10 11:29,16218,471.3,PayPal
536405,12/1/10 11:32,14045,326.4,Debit Card
536406,12/1/10 11:33,17850,353.14,Debit Card
536407,12/1/10 11:34,17850,22.2,PayPal
536408,12/1/10 11:41,14307,783.11,Credit Card
536409,12/1/10 11:45,17908,202.48,PayPal
536412,12/1/10 11:49,17920,369.21,PayPal
536415,12/1/10 11:57,12838,390.79,Credit Card
536416,12/1/10 11:58,13255,225.7,Credit Card
536420,12/1/10 12:03,16583,233.45,Debit Card
536423,12/1/10 12:08,18085,303.9,Debit Card
536425,12/1/10 12:08,13758,362.45,Debit Card
536437,12/1/10 12:12,13694,842.12,Debit Card
536446,12/1/10 12:15,15983,388.42,Gift Card
536460,12/1/10 12:22,14849,295.54,Credit Card
536463,12/1/10 12:22,14849,17.4,Credit Card
536464,12/1/10 12:23,17968,237,Credit Card
536466,12/1/10 12:23,14849,42.9,PayPal
536477,12/1/10 12:27,16210,2474.74,Credit Card
536488,12/1/10 12:31,17897,149.84,Debit Card
536500,12/1/10 12:35,17377,223.9,Credit Card
536502,12/1/10 12:36,16552,95.29,Credit Card
536508,12/1/10 12:38,17181,155.52,Credit Card
C536506,12/1/10 12:38,17897,-25.5,PayPal
536514,12/1/10 12:40,17951,295.5,Credit Card
536520,12/1/10 12:43,14729,307.64,Credit Card
536521,12/1/10 12:48,12748,4.95,Debit Card
536522,12/1/10 12:49,15012,172.29,Cash
536523,12/1/10 12:50,12868,203.3,Credit Card
536524,12/1/10 12:51,17572,70.8,Cash
536525,12/1/10 12:54,14078,136.24,Credit Card
536526,12/1/10 12:58,14001,301.24,Mobile Payments
536527,12/1/10 13:04,12662,261.48,Debit Card
536528,12/1/10 13:17,15525,256.63,Mobile Payments
536529,12/1/10 13:20,14237,161,PayPal
536530,12/1/10 13:21,17905,200.5,Bank Transfer
536531,12/1/10 13:23,15485,939.59,Credit Card
536532,12/1/10 13:24,12433,1919.14,Credit Card
536533,12/1/10 13:31,16955,156.1,Credit Card
536534,12/1/10 13:33,15350,115.65,Credit Card
536535,12/1/10 13:38,15605,194.85,Credit Card
536536,12/1/10 13:45,18144,165.05,Debit Card
536537,12/1/10 13:51,15922,369.5,Debit Card
536538,12/1/10 13:54,14594,255,Credit Card
536539,12/1/10 14:03,15165,487.75,PayPal
536540,12/1/10 14:05,14911,540.38,Debit Card
536541,12/1/10 14:05,14911,15,Credit Card
536542,12/1/10 14:11,16456,787.4,Debit Card
C536543,12/1/10 14:30,17841,-3.8,Credit Card
536544,12/1/10 14:32,16767,5480.87,Debit Card
C536548,12/1/10 14:33,12472,-122.3,Mobile Payments
536551,12/1/10 14:34,17346,126.26,Debit Card
536555,12/1/10 14:37,13808,2.97,PayPal
536556,12/1/10 14:38,17643,101.55,Credit Card
536557,12/1/10 14:41,17841,518.58,Bank Transfer
536558,12/1/10 14:48,13958,99.75,Credit Card
536559,12/1/10 14:54,17873,194.75,Credit Card
536560,12/1/10 15:00,13093,799.4,Debit Card
536561,12/1/10 15:06,12921,322.4,Credit Card
536562,12/1/10 15:08,13468,308.65,Cash
536563,12/1/10 15:08,17760,172.54,Credit Card
536564,12/1/10 15:08,13468,51.4,PayPal
536565,12/1/10 15:15,14143,6.7,Credit Card
536566,12/1/10 15:21,16928,116.25,Bank Transfer
536567,12/1/10 15:27,16048,251.4,Mobile Payments
536568,12/1/10 15:28,16048,5.04,Credit Card
536569,12/1/10 15:35,16274,332.8,Debit Card
536570,12/1/10 15:35,14496,304.34,Debit Card
536571,12/1/10 15:37,14696,294.62,Debit Card
536572,12/1/10 15:40,16539,442.35,Credit Card
536573,12/1/10 15:45,17025,143.12,Mobile Payments
