StockCode,Description,UnitPrice,QuantityAvailable,Product_Created,Product_lastUpdated,Ratings
85123A,WHITE HANGING HEART T-LIGHT HOLDER,2.55,85,2011-01-09,2011-09-09,1.0
71053,WHITE METAL LANTERN,3.39,66,2011-01-11,2011-09-09,3.25
84406B,CREAM CUPID HEARTS COAT HANGER,2.75,98,2011-01-09,2011-09-07,4.5
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3.39,85,2011-01-10,2011-09-08,2.75
84029E,RED WOOLLY HOTTIE WHITE HEART.,3.39,239,2011-01-10,2011-09-09,4.5
22752,SET 7 BABUSHKA NESTING BOXES,7.65,199,2011-01-12,2011-09-09,4.0
21730,GLASS STAR FROSTED T-LIGHT HOLDER,4.25,99,2011-01-12,2011-09-30,2.25
22633,HAND WARMER UNION JACK,1.85,134,2011-10-09,2011-09-09,1.5
22632,HAND WARMER RED POLKA DOT,1.85,250,2011-01-04,2011-09-08,5.0
84879,ASSORTED COLOUR BIRD ORNAMENT,1.69,147,2011-01-09,2011-09-09,4.0
22745,POPPY'S PLAYHOUSE BEDROOM ,2.1,246,2011-01-10,2011-09-09,4.25
22748,POPPY'S PLAYHOUSE KITCHEN,2.1,184,2011-01-10,2011-09-09,3.75
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,3.75,121,2011-01-09,2011-09-09,1.5
22310,IVORY KNITTED MUG COSY ,1.65,99,2011-01-09,2011-09-09,2.25
84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,4.25,165,2011-01-09,2011-09-08,3.5
22623,BOX OF VINTAGE JIGSAW BLOCKS ,4.95,95,2011-01-10,2011-09-07,3.5
22622,BOX OF VINTAGE ALPHABET BLOCKS,9.95,81,2011-01-09,2011-09-09,3.25
21754,HOME BUILDING BLOCK WORD,5.95,141,2011-01-09,2011-09-09,4.75
21755,LOVE BUILDING BLOCK WORD,5.95,74,2011-01-09,2011-09-09,2.0
21777,RECIPE BOX WITH METAL HEART,7.95,200,2010-11-30,2010-12-09,5.0
48187,DOORMAT NEW ENGLAND,7.95,85,2011-01-09,2011-09-09,3.25
22960,JAM MAKING SET WITH JARS,4.25,246,2011-01-09,2011-09-09,2.75
22913,RED COAT RACK PARIS FASHION,4.95,146,2011-01-09,2011-09-07,4.0
